Accession	Species	Class
VfCD00305952	Aliivibrio fischeri	1
VfCD00305953	Aliivibrio fischeri	1
VfCD00305954	Aliivibrio fischeri	1
VfCD00305955	Aliivibrio fischeri	1
VfCD00305956	Aliivibrio fischeri	1
VfCD00305957	Aliivibrio fischeri	1
VfCD00305958	Aliivibrio fischeri	1
VfCD00305959	Aliivibrio fischeri	1
VcCD00305960	Vibrio cholerae	1
VcCD00305962	Vibrio cholerae	1
VcCD00305963	Vibrio cholerae	1
VcCD00305964	Vibrio cholerae	1
EcCD00305965	Pectobacterium carotovorum	1
EcCD00305966	Pectobacterium carotovorum	1
EcCD00305967	Pectobacterium carotovorum	1
EcCD00305970	Pectobacterium carotovorum	1
EcCD00305971	Pectobacterium carotovorum	1
EcCD00305972	Pectobacterium carotovorum	1
EcCD00305973	Pectobacterium carotovorum	1
EcCD00305974	Pectobacterium carotovorum	1
PaCD00305975	Pseudomonas aeruginosa	1
PaCD00305976	Pseudomonas aeruginosa	1
PaCD00305977	Pseudomonas aeruginosa	1
PaCD00305978	Pseudomonas aeruginosa	1
PaCD00305980	Pseudomonas aeruginosa	1
PaCD00305981	Pseudomonas aeruginosa	1
PaCD00305982	Pseudomonas aeruginosa	1
PaCD00305983	Pseudomonas aeruginosa	1
NpCD00305984	Neisseria meningitidis	1
NpCD00305985	Neisseria meningitidis	1
NpCD00305986	Neisseria meningitidis	1
LpCD00330976	Legionella pneumophila	1
LlCD00330977	Lactococcus lactis	0
PmCD00330978	Pyrococcus horikoshii	1
PmCD00330979	Pyrococcus horikoshii	1
PmCD00330980	Pyrococcus horikoshii	1
PmCD00330981	Pyrococcus horikoshii	1
PmCD00330982	Pyrococcus horikoshii	1
PmCD00330983	Pyrococcus horikoshii	1
PmCD00330984	Pyrococcus horikoshii	0
PmCD00330985	Pyrococcus horikoshii	1
PmCD00330986	Pyrococcus horikoshii	0
HdCD00330987	Haemophilus ducreyi	1
HdCD00330988	Haemophilus ducreyi	1
HdCD00330989	Haemophilus ducreyi	1
HdCD00330990	Haemophilus ducreyi	1
SmCD00330991	Streptococcus mutans	1
SmCD00330992	Streptococcus mutans	1
SeCD00330993	Salmonella enterica	1
SeCD00330994	Salmonella enterica	1
ShCD00330995	Staphylococcus haemolyticus	1
ShCD00330996	Staphylococcus haemolyticus	1
ShCD00330997	Staphylococcus haemolyticus	1
ShCD00330998	Staphylococcus haemolyticus	1
ShCD00330999	Staphylococcus haemolyticus	0
ShCD00331000	Staphylococcus haemolyticus	1
ShCD00331001	Staphylococcus haemolyticus	1
TdCD00331002	Treponema denticola	1
HiCD00331003	Haemophilus influenzae	1
CpCD00331004	Clostridium perfringens	0
CpCD00331005	Clostridium perfringens	1
CpCD00331006	Clostridium perfringens	1
CpCD00331007	Clostridium perfringens	1
CpCD00331008	Clostridium perfringens	1
CpCD00331009	Clostridium perfringens	1
CpCD00331010	Clostridium perfringens	1
CpCD00331011	Clostridium perfringens	1
CpCD00331012	Clostridium perfringens	0
CpCD00331013	Clostridium perfringens	1
CpCD00331014	Clostridium perfringens	1
CpCD00331015	Clostridium perfringens	1
CpCD00331016	Clostridium perfringens	1
CpCD00331017	Clostridium perfringens	1
CpCD00331018	Clostridium perfringens	1
CpCD00331019	Clostridium perfringens	1
CpCD00331020	Clostridium perfringens	1
CpCD00331021	Clostridium perfringens	0
CpCD00331022	Clostridium perfringens	1
CpCD00331023	Clostridium perfringens	1
CpCD00331024	Clostridium perfringens	0
CpCD00331025	Clostridium perfringens	0
CtCD00331026	Clostridium thermocellum	0
CtCD00331027	Clostridium thermocellum	1
