id	Minimum free energy	Protein abundance
1_11111111_1	-12.6	27.5100974961113
1_11111112_1	-11.6	36.3762624850941
1_11111113_1	-14.1	16.8251855832058
1_11111121_1	-13.2	11.5910136261857
1_11111123_1	-14.8	6.80193097912706
1_11111211_1	-12	14.5269117758283
1_11111223_1	-11.9	70.3282187183312
1_11112111_1	-12.2	55.6573099267233
1_11112112_1	-11.7	28.1060350591376
1_11112113_1	-11.9	16.5238631606709
1_11112123_1	-12.7	5.27354584755621
1_11121113_1	-12.2	12.096525227877
1_11121213_1	-12.4	19.3359912140422
1_11121222_1	-12.1	14.4749800246361
1_11122111_1	-13.2	22.9096413902349
1_11122112_2	-14	1.57161111577546
1_11122121_1	-12.6	13.5904276675748
1_11131112_1	-12.4	NA
1_11131113_1	-13.1	8.5091440505979
1_11131211_2	-13.9	4.79675017121128
1_11131213_3	-11.6	24.4604903432516
1_11132123_3	-15.5	7.19768069088182
1_11211111_1	-12.5	18.378060620851
1_11211121_1	-11.7	6.46369721184067
1_11211122_1	-14.2	11.8596962030084
1_11211123_1	-11.6	54.7226262640605
1_11211211_1	-12	19.2004692103391
1_11211213_2	-11.9	14.9697020393804
1_11211221_1	-11.9	75.0884460580705
1_11211223_1	-11.8	13.1970184628228
1_11212113_1	-11.6	18.189004327215
1_11212121_2	-13.1	11.4682059859561
1_11212122_3	-11.6	9.54400464096151
1_11221112_1	-12.9	8.67923693390957
1_11221213_2	-11.6	24.9787662393354
1_11221221_1	-13.3	42.8162025647747
1_11221222_1	-12.3	67.4270998115563
1_11221223_1	-12	25.2077021466491
1_11222123_1	-11.7	34.2338552373066
1_11231122_2	-12.6	18.9223067629975
1_11311121_1	-11.7	37.3518137524653
1_11311122_1	-11.6	31.7542967216244
1_11311123_1	-14.8	9.65054116795974
1_11311211_1	-13.3	36.7754882198422
1_11311212_1	-11.9	15.8999571091203
1_11311223_2	-11.6	50.4406160747877
1_11312122_2	-11.9	28.9310901689206
1_11321123_1	-12	70.4203805910228
1_11321212_2	-12.9	11.4653270298053
1_11321222_1	-13.4	11.0499909195412
